transactionID,dateTime,customerID,productID,categoryID,storeID,salesPersonID,productValue
96302,1971-11-12 09:19:00,,4362.0,127.0,15,207.0,14.9
96302,1971-11-12 09:19:00,,3343.0,127.0,15,207.0,15.4
96554,1972-02-11 14:16:00,62213.0,5956.0,140.0,22,211.0,13.7
96554,1972-02-11 14:16:00,62213.0,2994.0,71.0,22,211.0,4.8
96677,1973-09-11 18:52:00,,6759.0,163.0,8,284.0,15.8
96677,1973-09-11 18:52:00,,1698.0,40.0,8,284.0,27.9
97401,1970-10-14 09:19:00,,5597.0,140.0,7,155.0,15.0
100644,1970-12-09 15:36:00,160320.0,1669.0,91.0,9,Unknown,24.3
105119,1973-09-13 11:07:00,59875.0,5168.0,24.0,8,17.0,4.9
105119,1973-09-13 11:07:00,59875.0,6842.0,76.0,8,17.0,18.9
105119,1973-09-13 11:07:00,59875.0,1688.0,134.0,8,17.0,12.9
109022,1970-03-16 17:50:00,,2824.0,49.0,32,Unknown,18.5
110380,1970-12-10 12:44:00,,5767.0,36.0,5,141.0,30.0
113658,1970-02-04 13:13:00,,841.0,69.0,7,Unknown,4.5
116385,1970-02-06 13:00:00,,360.0,36.0,28,Unknown,10.0
117156,1970-12-11 12:58:00,,5781.0,36.0,11,34.0,10.5
119619,1970-06-02 09:51:00,,3519.0,71.0,27,Unknown,16.6
126907,1970-02-10 12:06:00,,4102.0,71.0,8,Unknown,14.5
128921,1970-11-13 11:30:00,,6973.0,91.0,22,122.0,12.2
128921,1970-11-13 11:30:00,,743.0,91.0,22,122.0,15.0
128921,1970-11-13 11:30:00,,5446.0,94.0,22,122.0,8.15
128921,1970-11-13 11:30:00,,5445.0,94.0,22,122.0,9.85
129140,1970-10-02 15:16:00,,6532.0,75.0,11,97.0,12.5
129140,1970-10-02 15:16:00,,6531.0,75.0,11,97.0,12.5
129843,1970-08-21 14:25:00,,5538.0,140.0,1,Unknown,4.0
134069,1970-06-15 13:13:00,,5171.0,24.0,23,Unknown,4.2
135923,1972-07-19 11:34:00,56714.0,8465.0,136.0,22,198.0,10.5
135923,1972-07-19 11:34:00,56714.0,2994.0,71.0,22,198.0,4.8
135923,1972-07-19 11:34:00,56714.0,5904.0,71.0,22,198.0,3.4
138634,1972-03-31 10:23:00,64359.0,6087.0,92.0,27,217.0,25.5
138634,1972-03-31 10:23:00,64359.0,6098.0,92.0,27,217.0,27.5
138634,1972-03-31 10:23:00,64359.0,8475.0,68.0,27,217.0,20.5
138634,1972-03-31 10:23:00,64359.0,6355.0,71.0,27,217.0,8.0
138634,1972-03-31 10:23:00,64359.0,5994.0,71.0,27,217.0,5.0
140440,1970-10-17 12:30:00,144252.0,5583.0,99.0,8,118.0,9.32
140440,1970-10-17 12:30:00,144252.0,5393.0,131.0,8,118.0,20.03
141652,1970-12-03 16:20:00,131001.0,5186.0,44.0,16,127.0,4.78
141652,1970-12-03 16:20:00,131001.0,4260.0,127.0,16,127.0,6.88
141652,1970-12-03 16:20:00,131001.0,4364.0,127.0,16,127.0,9.54
141652,1970-12-03 16:20:00,131001.0,5489.0,125.0,16,127.0,21.52
141652,1970-12-03 16:20:00,131001.0,6228.0,48.0,16,127.0,30.24
141652,1970-12-03 16:20:00,131001.0,5477.0,48.0,16,127.0,9.92
141652,1970-12-03 16:20:00,131001.0,2859.0,48.0,16,127.0,14.32
141652,1970-12-03 16:20:00,131001.0,5401.0,132.0,16,127.0,6.8
141652,1970-12-03 16:20:00,131001.0,2195.0,49.0,16,127.0,11.12
141652,1970-12-03 16:20:00,131001.0,5769.0,164.0,16,127.0,28.0
146723,1970-06-01 13:29:00,,3983.0,75.0,28,Unknown,13.0
152780,1970-03-06 16:39:00,,320.0,170.0,26,Unknown,20.0
154722,1970-01-18 17:55:00,,5233.0,133.0,22,Unknown,11.9
155070,1970-06-23 13:57:00,,1608.0,75.0,1,Unknown,12.0
160487,1970-01-24 15:06:00,,1989.0,75.0,8,Unknown,14.85
160487,1970-01-24 15:06:00,,1761.0,76.0,8,Unknown,14.85
165520,1972-11-28 17:18:00,,7071.0,109.0,20,274.0,14.2
172989,1970-10-01 12:00:00,,6532.0,75.0,22,Unknown,17.0
173518,1971-11-20 12:12:00,,8442.0,110.0,38,142.0,5.0
173718,1970-11-18 12:58:00,,4552.0,146.0,15,1.0,14.9
176914,1970-03-26 14:15:00,,2733.0,71.0,16,Unknown,3.4
176914,1970-03-26 14:15:00,,2441.0,75.0,16,Unknown,16.5
179751,1970-12-17 12:54:00,,2441.0,75.0,9,Unknown,17.0
181683,1970-12-21 17:31:00,,2952.0,75.0,28,24.0,16.99
181683,1970-12-21 17:31:00,,5588.0,101.0,28,24.0,17.4
187499,1970-10-19 15:49:00,,749.0,91.0,9,Unknown,15.0
189465,1970-12-20 11:34:00,,5583.0,99.0,1,36.0,12.8
189465,1970-12-20 11:34:00,,3739.0,94.0,1,36.0,12.5
189465,1970-12-20 11:34:00,,4335.0,73.0,1,36.0,10.78
189465,1970-12-20 11:34:00,,4334.0,73.0,1,36.0,12.22
189465,1970-12-20 11:34:00,,8629.0,173.0,1,36.0,4.0
191900,1970-08-07 13:50:00,,1712.0,163.0,9,Unknown,14.32
191900,1970-08-07 13:50:00,,3986.0,71.0,9,Unknown,5.6
192635,1970-06-17 15:04:00,,6457.0,92.0,33,132.0,20.0
194413,1970-06-30 17:45:00,,5136.0,131.0,20,Unknown,19.5
194413,1970-06-30 17:45:00,,4584.0,131.0,20,Unknown,28.5
195334,1970-08-27 14:37:00,,2984.0,140.0,1,Unknown,14.9
195749,1971-11-17 15:57:00,,3951.0,134.0,13,144.0,7.5
201367,1970-02-01 10:17:00,,3973.0,75.0,21,Unknown,16.5
202407,1970-12-18 16:54:00,,5400.0,132.0,9,Unknown,8.5
204351,1970-04-22 09:35:00,,4362.0,127.0,32,Unknown,11.2
204351,1970-04-22 09:35:00,,3210.0,173.0,32,Unknown,10.0
205489,1972-04-26 17:35:00,161904.0,5570.0,140.0,27,50.0,12.96
207494,1970-11-20 13:18:00,,4051.0,75.0,23,65.0,7.0
208645,1972-12-21 15:30:00,32367.0,6327.0,49.0,16,298.0,13.7
208645,1972-12-21 15:30:00,32367.0,4078.0,92.0,16,298.0,23.5
